"compositeSampleID","siteID","sampleID","plotID","biomassID","geneticSampleID","biome","nlcdClass","horizon","sampleBottomDepth","sampleTopDepth","litterDepth","standingWaterDepth","soilTemp","sampleTiming","domainID","decimalLatitude","decimalLongitude","proportion_fungi","proportion_bacteria","gram_positive","gram_negative","total_fungi","total_bacteria","proportion_sap_ecto_fungi","proportion_arbuscular_fungi","bacteria_fungi_total","total_biomass","db_name","Bacteria","Eukaryota","Archaea","fungi_domain_metagenome","sample_id","genus_amf_metagenome","genus_fungi_metagenome","genus_fungi_minus_amf_metagenome","phyla_fungi_metagenome","seq_depth"
NA,"BART","BART_042-M-39-20220425","BART_042","BART_042-M-39-20220425-BM",NA,"Forest","deciduousForest","M",30,4.2,3,0,6,"winterSpringTransition","D01",44.060194,-71.288052,0.426715955639924,0.573284044360076,47.3,67.46,85.42,114.76,0.123139174742732,0.0594464981516635,200.18,270.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_042-O-39-20220425","BART_042","BART_042-O-39-20220425-BM","BART_042-O-39-20220425-GEN","Forest","deciduousForest","O",4.2,0,3,0,6,"winterSpringTransition","D01",44.060194,-71.288052,0.545806332946603,0.454193667053397,297.03,345,771.53,642.03,0.138642859164096,0.0682956506975296,1413.56,1883.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_040-M-39-20220425","BART_040","BART_040-M-39-20220425-BM",NA,"Forest","deciduousForest","M",17.5,2.8,3.6,0,5.1,"winterSpringTransition","D01",44.06576,-71.29199,0.539302872329551,0.460697127670449,60.24,74.97,158.28,135.21,0.154417527002624,0.0576851000034073,293.49,378.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_040-O-39-20220425","BART_040","BART_040-O-39-20220425-BM","BART_040-O-39-20220425-GEN","Forest","deciduousForest","O",2.8,0,3.6,0,5.1,"winterSpringTransition","D01",44.06576,-71.29199,0.613272596798852,0.386727403201148,295.01,324.74,982.8,619.75,0.137693051698855,0.0567782596486849,1602.55,2091.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_042-O-41-20220425","BART_042","BART_042-O-41-20220425-BM","BART_042-O-41-20220425-GEN","Forest","deciduousForest","O",4.4,0,3.9,0,5,"winterSpringTransition","D01",44.060194,-71.288052,0.570194952143448,0.429805047856552,310.78,359.66,889.43,670.44,0.109220640181554,0.0702622654451973,1559.87,2190.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_042-M-41-20220425","BART_042","BART_042-M-41-20220425-BM",NA,"Forest","deciduousForest","M",19.3,4.4,3.9,0,5,"winterSpringTransition","D01",44.060194,-71.288052,0.498842741416999,0.501157258583001,39.83,38.12,77.59,77.95,0.138035232094638,0.0568342548540568,155.54,211.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_040-O-23-20220425","BART_040","BART_040-O-23-20220425-BM","BART_040-O-23-20220425-GEN","Forest","deciduousForest","O",2.3,0,2.7,0,5,"winterSpringTransition","D01",44.06576,-71.29199,0.520736405345585,0.479263594654415,362.99,379.72,806.98,742.71,0.132258709806477,0.0590505197813756,1549.69,1863.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_040-M-23-20220425","BART_040","BART_040-M-23-20220425-BM",NA,"Forest","deciduousForest","M",17.5,2.3,2.7,0,5,"winterSpringTransition","D01",44.06576,-71.29199,0.44428078607698,0.55571921392302,59.71,83.66,114.62,143.37,0.138299934105973,0.0534516841738052,257.99,335.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_042-O-21-20220425","BART_042","BART_042-O-21-20220425-BM","BART_042-O-21-20220425-GEN","Forest","deciduousForest","O",4.2,0,7,0,6.3,"winterSpringTransition","D01",44.060194,-71.288052,0.612688779764662,0.387311220235338,336.81,499.24,1322.55,836.05,0.168525896414343,0.0457148151579728,2158.6,2659.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_042-M-21-20220425","BART_042","BART_042-M-21-20220425-BM",NA,"Forest","deciduousForest","M",29,4.2,7,0,6.3,"winterSpringTransition","D01",44.060194,-71.288052,0.498562768591513,0.501437231408487,71.52,104.67,175.18,176.19,0.153940290861485,0.0546717135782793,351.37,446.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
