taxon_group,db_name,taxonomic_rank,filter_status,mean_pct_classified,median_pct_classified,sd_pct_classified,n_samples
all_domain,gtdb_207,class,after,11.661219370859406,11.399603109432968,2.208185453761857,175
all_domain,gtdb_207,class,before,32.974364536316244,32.64946300371689,6.248711530751602,175
all_domain,gtdb_207,family,after,9.411528214769056,9.176508863060128,1.9870690218090297,175
all_domain,gtdb_207,family,before,27.958745421598266,27.39791707728432,5.354119970302567,175
all_domain,gtdb_207,genus,after,8.332210168136697,8.023490007709373,1.9018024188562577,175
all_domain,gtdb_207,genus,before,25.361203149219936,24.660326665978495,5.125318494703307,175
all_domain,gtdb_207,order,after,10.252946374048607,9.980525241355673,2.0715059738356296,175
all_domain,gtdb_207,order,before,30.153155070463676,29.688283665632476,5.653311172596915,175
all_domain,gtdb_207,phylum,after,12.499039809641255,12.237992333595875,2.254379270965392,175
all_domain,gtdb_207,phylum,before,34.582423035678616,34.117899627730836,6.439076800678591,175
all_domain,gtdb_207,species,after,9.086388907332882,8.808912260437406,1.9054670825993383,175
all_domain,gtdb_207,species,before,26.35818830000028,25.992015160120367,4.679470604464356,175
all_domain,gtdb_207,strain,after,0.8164627765371204,0.7853755979312279,0.2191191367452587,175
all_domain,gtdb_207,strain,before,2.375149655225846,2.3381792024526806,0.46449231167273103,175
all_domain,gtdb_207_unfiltered,class,after,10.956035247936816,12.896925900553018,6.0202407960622715,80
all_domain,gtdb_207_unfiltered,class,before,45.921173542339616,44.715138949858826,7.236536323729609,80
all_domain,gtdb_207_unfiltered,family,after,9.651609824494303,11.373633678408329,5.342610584261153,80
all_domain,gtdb_207_unfiltered,family,before,41.43987176772335,40.39933654662812,6.339387058440726,80
all_domain,gtdb_207_unfiltered,genus,after,9.17968895668076,10.780300365623749,5.0954580185280705,80
all_domain,gtdb_207_unfiltered,genus,before,39.54541437760033,38.52830607222242,5.987150279348535,80
all_domain,gtdb_207_unfiltered,order,after,10.14056885383219,11.936497801041131,5.61058136733818,80
all_domain,gtdb_207_unfiltered,order,before,43.36131518740882,42.32170689867054,6.765828856260197,80
all_domain,gtdb_207_unfiltered,phylum,after,11.333310442201274,13.317428902880941,6.201733980597432,80
all_domain,gtdb_207_unfiltered,phylum,before,46.879244012512196,45.58303357969579,7.3919547762946705,80
all_domain,gtdb_207_unfiltered,species,after,8.703420787816828,10.248968451959524,4.963981279087524,80
all_domain,gtdb_207_unfiltered,species,before,37.836013153067164,36.920131020008554,6.09556934817275,80
all_domain,gtdb_207_unfiltered,strain,after,8.703420787816828,10.248968451959524,4.963981279087524,80
all_domain,gtdb_207_unfiltered,strain,before,37.836013153067164,36.920131020008554,6.09556934817275,80
all_domain,pluspf,class,after,9.304740350396608,9.164060495585103,2.2616281127449125,435
all_domain,pluspf,class,before,24.430223092194137,23.72356303891697,5.554910138706476,626
all_domain,pluspf,family,after,8.182701577371335,8.01113709489045,2.186811214651628,435
all_domain,pluspf,family,before,22.256863286016966,21.711964804292318,4.959966129757639,626
all_domain,pluspf,genus,after,7.926577089730406,7.750497113620029,2.1579352854331177,435
all_domain,pluspf,genus,before,21.621446262805986,21.077671706193904,4.844409197137325,626
all_domain,pluspf,order,after,8.534021333433895,8.384950190611905,2.2048404367474936,435
all_domain,pluspf,order,before,23.063378457112808,22.5171511679669,5.1059234784133025,626
all_domain,pluspf,phylum,after,9.8229993521027,9.715194057305052,2.278616113531445,435
all_domain,pluspf,phylum,before,25.298158289511353,24.5600298954391,5.710002768072644,626
all_domain,pluspf,species,after,6.273762934308199,6.067040021370331,1.8814316952505503,435
all_domain,pluspf,species,before,17.725549404816938,17.290468727901146,4.0041189745133785,626
all_domain,pluspf,strain,after,0.6294098303776653,0.6147619005061455,0.17498591199432356,435
all_domain,pluspf,strain,before,1.5062498656779502,1.4586048397640403,0.3392850705225262,626
all_domain,soil_microbe_db,class,after,13.445478099634213,12.97722855461478,2.9569733525444173,1404
all_domain,soil_microbe_db,class,before,42.44184398273827,42.24650121815152,7.160369843678133,1417
all_domain,soil_microbe_db,family,after,10.851691020392172,10.404580962040052,2.7749236354431104,1404
all_domain,soil_microbe_db,family,before,35.844839222475585,35.559714949448804,6.044475094452664,1417
all_domain,soil_microbe_db,genus,after,8.954741259923757,8.388664347810089,2.4971382989533164,1404
all_domain,soil_microbe_db,genus,before,30.010680775681912,29.62137110506722,5.5839643429654116,1417
all_domain,soil_microbe_db,order,after,11.803991495357975,11.415050552849419,2.8916757439591443,1404
all_domain,soil_microbe_db,order,before,38.697437426049795,38.58066471291637,6.2458808035774815,1417
all_domain,soil_microbe_db,phylum,after,14.43008886844627,13.962112203571596,3.02741289205642,1404
all_domain,soil_microbe_db,phylum,before,44.613142269963845,44.41681811115749,7.509184427184345,1417
all_domain,soil_microbe_db,species,after,8.332024355640879,7.9997538781801145,2.2964332055509007,1404
all_domain,soil_microbe_db,species,before,27.74398355749408,27.365818404849872,4.872755984983846,1417
all_domain,soil_microbe_db,strain,after,0.7971295658202227,0.7345726634133538,0.2966842841921875,1404
all_domain,soil_microbe_db,strain,before,2.5147613339891595,2.4409000625365493,0.5580664712493937,1417
fungi,pluspf,phylum,after,0.058998797249614446,0.056445370438534086,0.02786765360865611,435
fungi,pluspf,phylum,before,0.10016544172112683,0.09245877147469529,0.04187846378150737,625
fungi,soil_microbe_db,phylum,after,0.8159620439903446,0.63610592169504665,1.030661469528614,1404
fungi,soil_microbe_db,phylum,before,1.8804734944185748,1.3896416498095696,2.7797440445452963,1416
