sampleID,db_name,seq_depth,reads_classified,pct_classified,taxonomic_rank,taxon_group
GUAN_007-M-20180925-COMP,soil_microbe_db,11818707,1345758,11.386677070512029,phylum,all_domain
GUAN_007-M-20190930-COMP,soil_microbe_db,3729458,537624,14.415606771815101,phylum,all_domain
GUAN_007-M-20210922-COMP,soil_microbe_db,163207852,16448198,10.078067812570685,phylum,all_domain
GUAN_042-M-20161004-COMP,soil_microbe_db,7678301,1124288,14.642405917663295,phylum,all_domain
GUAN_042-M-20171108-COMP,soil_microbe_db,7506380,976278,13.00597624953706,phylum,all_domain
GUAN_042-M-20180926-COMP,soil_microbe_db,1389533,176745,12.71974109287077,phylum,all_domain
GUAN_042-M-20210920-COMP,soil_microbe_db,173996444,17392572,9.995935319229856,phylum,all_domain
GUAN_043-M-20161005-COMP,soil_microbe_db,6290311,821102,13.053440441974967,phylum,all_domain
GUAN_043-M-20171110-COMP,soil_microbe_db,3729663,531858,14.260216003429802,phylum,all_domain
GUAN_043-M-20180927-COMP,soil_microbe_db,2269849,281015,12.380338956468028,phylum,all_domain
GUAN_043-M-20191002-COMP,soil_microbe_db,3621700,612515,16.912361598144518,phylum,all_domain
GUAN_043-M-20210921-COMP,soil_microbe_db,145311033,14038266,9.660839724400004,phylum,all_domain
GUAN_048-M-20161004-COMP,soil_microbe_db,9480411,1311711,13.836014071541836,phylum,all_domain
GUAN_048-M-20171107-COMP,soil_microbe_db,8490020,1164158,13.71207606106935,phylum,all_domain
GUAN_048-M-20180926-COMP,soil_microbe_db,4830974,580029,12.006460808938321,phylum,all_domain
GUAN_048-M-20191002-COMP,soil_microbe_db,3955982,672956,17.011098634928064,phylum,all_domain
GUAN_048-M-20210920-COMP,soil_microbe_db,208128928,22411285,10.767981757922666,phylum,all_domain
GUAN_049-M-20161004-COMP,soil_microbe_db,7637155,1123915,14.71640944828277,phylum,all_domain
GUAN_049-M-20171107-COMP,soil_microbe_db,61331941,8659039,14.118318870749583,phylum,all_domain
GUAN_049-M-20180926-COMP,soil_microbe_db,10081711,1411370,13.999310236129562,phylum,all_domain
GUAN_049-M-20191002-COMP,soil_microbe_db,2958984,297751,10.06260932806666,phylum,all_domain
HARV_001-M-20130709-COMP,soil_microbe_db,8930867,881666,9.872121038192597,phylum,all_domain
HARV_001-M-20131122-COMP,soil_microbe_db,9341705,935573,10.01501331930306,phylum,all_domain
HARV_001-M-20180710-COMP,soil_microbe_db,645077,113277,17.560229243950722,phylum,all_domain
HARV_001-O-20131122-COMP,soil_microbe_db,4435490,478332,10.784197461836234,phylum,all_domain
HARV_001-O-20160803-COMP,soil_microbe_db,13520693,1806400,13.360261933319542,phylum,all_domain
HARV_001-O-20170731-COMP,soil_microbe_db,1493105,235975,15.804313829235051,phylum,all_domain
HARV_001-O-20180710-COMP,soil_microbe_db,8168203,1136783,13.917173703934635,phylum,all_domain
HARV_001-O-20190717-COMP,soil_microbe_db,4849258,810253,16.708803697390405,phylum,all_domain
HARV_001-O-20200713-COMP,soil_microbe_db,5878998,781938,13.300531825321254,phylum,all_domain
HARV_002-M-20180711-COMP,soil_microbe_db,1944449,286780,14.748651160302995,phylum,all_domain
HARV_002-O-20160809-COMP,soil_microbe_db,8296261,1626598,19.606398593294017,phylum,all_domain
HARV_002-O-20170801-COMP,soil_microbe_db,14977660,2141523,14.29811465876512,phylum,all_domain
HARV_002-O-20180711-COMP,soil_microbe_db,7300857,1122387,15.373359593264189,phylum,all_domain
HARV_002-O-20190716-COMP,soil_microbe_db,5666555,788556,13.915968344082074,phylum,all_domain
HARV_002-O-20200715-COMP,soil_microbe_db,5792134,724017,12.500004316198485,phylum,all_domain
HARV_004-M-20180710-COMP,soil_microbe_db,8882754,1219373,13.727420572493621,phylum,all_domain
HARV_004-O-20131122-COMP,soil_microbe_db,11478355,1388344,12.095322021317514,phylum,all_domain
HARV_004-O-20160803-COMP,soil_microbe_db,7151007,1465208,20.489533851665925,phylum,all_domain
HARV_004-O-20170731-COMP,soil_microbe_db,14473805,1986516,13.72490509579202,phylum,all_domain
HARV_004-O-20180710-COMP,soil_microbe_db,4444524,579596,13.040676571889362,phylum,all_domain
HARV_004-O-20190718-COMP,soil_microbe_db,3969311,536208,13.508843222413159,phylum,all_domain
HARV_004-O-20200713-COMP,soil_microbe_db,3321027,444577,13.386732477634178,phylum,all_domain
HARV_005-M-20180711-COMP,soil_microbe_db,6993320,1016633,14.53720121487362,phylum,all_domain
HARV_005-O-20180711-COMP,soil_microbe_db,9779380,1352531,13.830437103374651,phylum,all_domain
HARV_005-O-20190716-COMP,soil_microbe_db,6194692,958080,15.466144240908184,phylum,all_domain
HARV_005-O-20200716-COMP,soil_microbe_db,3831307,517850,13.516275255415449,phylum,all_domain
HARV_010-O-20160803-COMP,soil_microbe_db,10195244,1391716,13.650639455024324,phylum,all_domain
HARV_013-M-20130709-COMP,soil_microbe_db,9780694,1021693,10.446017429847004,phylum,all_domain
HARV_013-M-20180712-COMP,soil_microbe_db,8376965,1156503,13.805751844492606,phylum,all_domain
HARV_013-O-20131122-COMP,soil_microbe_db,7845800,869368,11.08068010910296,phylum,all_domain
HARV_013-O-20160803-COMP,soil_microbe_db,4412765,901938,20.439293730801435,phylum,all_domain
HARV_013-O-20170801-COMP,soil_microbe_db,10833607,1613273,14.891374590198813,phylum,all_domain
HARV_013-O-20180712-COMP,soil_microbe_db,7984905,1056730,13.234096085050478,phylum,all_domain
HARV_013-O-20190717-COMP,soil_microbe_db,5800036,1003432,17.3004443420696,phylum,all_domain
HARV_013-O-20200713-COMP,soil_microbe_db,5067857,731691,14.437877785422911,phylum,all_domain
HARV_016-M-20130709-COMP,soil_microbe_db,7088190,647238,9.131216855078659,phylum,all_domain
HARV_020-O-20170731-COMP,soil_microbe_db,11771025,1614277,13.713988373994617,phylum,all_domain
HARV_021-M-20180712-COMP,soil_microbe_db,715329,98543,13.775898922034477,phylum,all_domain
HARV_021-O-20180712-COMP,soil_microbe_db,6545634,841597,12.857379437958185,phylum,all_domain
HARV_021-O-20190716-COMP,soil_microbe_db,4264398,559607,13.122766683597545,phylum,all_domain
HARV_021-O-20200714-COMP,soil_microbe_db,4904887,645367,13.157632377667417,phylum,all_domain
HARV_033-M-20180709-COMP,soil_microbe_db,8091916,1013997,12.530987716629783,phylum,all_domain
HARV_033-O-20170801-COMP,soil_microbe_db,12618511,1893324,15.00433767502362,phylum,all_domain
HARV_033-O-20180709-COMP,soil_microbe_db,8497795,1188393,13.984721919038998,phylum,all_domain
HARV_033-O-20190715-COMP,soil_microbe_db,5612502,924585,16.473668962612397,phylum,all_domain
HARV_033-O-20200715-COMP,soil_microbe_db,5703649,780889,13.691042348503563,phylum,all_domain
HARV_034-M-20180709-COMP,soil_microbe_db,6067498,784962,12.937161248343221,phylum,all_domain
HARV_034-O-20170731-COMP,soil_microbe_db,10668617,1538227,14.418241839593643,phylum,all_domain
HARV_034-O-20180709-COMP,soil_microbe_db,14174378,2039602,14.389358037439104,phylum,all_domain
HARV_034-O-20190718-COMP,soil_microbe_db,4706531,721938,15.33906820118682,phylum,all_domain
HARV_034-O-20200713-COMP,soil_microbe_db,346603,63014,18.18045429497148,phylum,all_domain
HARV_035-M-20180709-COMP,soil_microbe_db,7752203,1076254,13.883201974974083,phylum,all_domain
HARV_035-O-20160802-COMP,soil_microbe_db,8389189,1687404,20.11403009277774,phylum,all_domain
HARV_035-O-20170801-COMP,soil_microbe_db,12211199,1793400,14.68651849830635,phylum,all_domain
HARV_035-O-20180709-COMP,soil_microbe_db,7672655,1063077,13.855399467329105,phylum,all_domain
HARV_035-O-20190718-COMP,soil_microbe_db,6636462,998997,15.053156335408838,phylum,all_domain
HARV_035-O-20200715-COMP,soil_microbe_db,4980820,711046,14.275681514288813,phylum,all_domain
HARV_037-M-20180710-COMP,soil_microbe_db,6094080,806213,13.229445625918926,phylum,all_domain
HARV_037-O-20170731-COMP,soil_microbe_db,11902175,1762515,14.808343853119283,phylum,all_domain
HARV_037-O-20180710-COMP,soil_microbe_db,161364,29777,18.453310527750926,phylum,all_domain
HARV_037-O-20190715-COMP,soil_microbe_db,5808737,779685,13.422625262600112,phylum,all_domain
HARV_037-O-20200713-COMP,soil_microbe_db,6471746,942368,14.5612636837107,phylum,all_domain
HEAL_001-O-20160804-COMP,soil_microbe_db,6665047,961009,14.418638008104068,phylum,all_domain
HEAL_001-O-20170724-COMP,soil_microbe_db,3894154,595881,15.30193721152271,phylum,all_domain
HEAL_004-O-20160802-COMP,soil_microbe_db,6328634,843365,13.326177497387274,phylum,all_domain
HEAL_004-O-20170726-COMP,soil_microbe_db,11090503,1478332,13.329711014910686,phylum,all_domain
HEAL_005-O-20160804-COMP,soil_microbe_db,9439352,1358111,14.3877567019431,phylum,all_domain
HEAL_005-O-20170726-COMP,soil_microbe_db,4057125,562081,13.854170132791078,phylum,all_domain
HEAL_010-O-20160802-COMP,soil_microbe_db,4237338,545725,12.878958440417074,phylum,all_domain
HEAL_010-O-20170724-COMP,soil_microbe_db,4790471,657363,13.722304132516406,phylum,all_domain
HEAL_011-O-20160803-COMP,soil_microbe_db,1942901,284928,14.665080722074878,phylum,all_domain
HEAL_011-O-20170726-COMP,soil_microbe_db,10411884,1467394,14.093453211733822,phylum,all_domain
HEAL_025-O-20160803-COMP,soil_microbe_db,4307879,536596,12.45615301636838,phylum,all_domain
HEAL_025-O-20170726-COMP,soil_microbe_db,10089131,1373465,13.613313178310401,phylum,all_domain
HEAL_045-O-20160727-COMP,soil_microbe_db,3502621,502530,14.347255954897776,phylum,all_domain
HEAL_045-O-20170725-COMP,soil_microbe_db,9548643,1479664,15.496065776047969,phylum,all_domain
HEAL_046-O-20160726-COMP,soil_microbe_db,7425875,1109199,14.936946824448297,phylum,all_domain
HEAL_046-O-20170725-COMP,soil_microbe_db,10017914,1449864,14.472713580891192,phylum,all_domain
HEAL_047-O-20160726-COMP,soil_microbe_db,3447306,533131,15.465148727731162,phylum,all_domain
HEAL_047-O-20170725-COMP,soil_microbe_db,12403319,1794057,14.464330071652595,phylum,all_domain
HEAL_048-M-20210622-COMP,soil_microbe_db,83279962,12129784,14.56506908588647,phylum,all_domain
HEAL_048-O-20160725-COMP,soil_microbe_db,3779677,630048,16.669360900415565,phylum,all_domain
HEAL_048-O-20170725-COMP,soil_microbe_db,10949255,1960496,17.90529127324188,phylum,all_domain
HEAL_048-O-20210622-COMP,soil_microbe_db,182258178,25020815,13.728226230814181,phylum,all_domain
