taxon,trophicMode,guild,confidenceRanking,functional_group,name
Scleroderma,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,scleroderma
Leucogyrophana,Pathotroph-Saprotroph,Lichen Parasite-|Wood Saprotroph|,Probable,Other saprotroph,leucogyrophana
Crassisporium,Saprotroph,Plant Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,crassisporium
Cylindrobasidium,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Possible,Other saprotroph,cylindrobasidium
Guyanagaster,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,guyanagaster
Mucidula,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,mucidula
Rhodocollybia,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,rhodocollybia
Moniliophthora,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Possible,Pathogen,moniliophthora
Marasmius,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,marasmius
Lyophyllum,Saprotroph-Symbiotroph,|Ectomycorrhizal|-Undefined Saprotroph,Possible,Ectomycorrhizae,lyophyllum
Termitomyces,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,termitomyces
Infundibulicybe,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,infundibulicybe
Lepista,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,lepista
Jaapia, Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,jaapia
Daedaleopsis,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,daedaleopsis
Daedalea,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,daedalea
Phlebiopsis,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,phlebiopsis
Phanerochaete,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,phanerochaete
Amylocystis,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,amylocystis
Gelatoporia,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,gelatoporia
Fibroporia,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,fibroporia
Panus,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,panus
Laetiporus,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Highly Probable,Pathogen,laetiporus
Multifurca,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,multifurca
Stereum,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,stereum
Dentipellis,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,dentipellis
