taxon,trophicMode,guild,confidenceRanking,functional_group,name
Fusarium,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Possible,Pathogen,fusarium
Ilyonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,ilyonectria
Dactylonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,dactylonectria
Neonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,neonectria
Thelonectria,Saprotroph,|Plant Saprotroph|,Highly Probable,Other saprotroph,thelonectria
Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph,Probable,Pathogen,trichoderma
Escovopsis,Pathotroph,|Fungal Parasite|,Probable,NA,escovopsis
Hypomyces,Pathotroph,|Fungal Parasite|,Highly Probable,NA,hypomyces
Tolypocladium,Pathotroph-Symbiotroph,|Animal Parasite|-Animal Pathogen-Clavicipitaceous Endophyte-Fungal Parasite,Possible,Pathogen,tolypocladium
Ophiocordyceps,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Insect Pathogen|-Undefined Saprotroph,Probable,Pathogen,ophiocordyceps
Purpureocillium,Pathotroph-Saprotroph,|Animal Parasite|-Fungal Parasite-Undefined Saprotroph,Probable,Other saprotroph,purpureocillium
Hirsutella,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,hirsutella
Drechmeria,Pathotroph-Saprotroph-Symbiotroph,|Animal Parasite|-Endophyte-Undefined Saprotroph,Probable,Endophyte,drechmeria
Cordyceps,Pathotroph-Symbiotroph,Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|,Possible,Pathogen,cordyceps
Beauveria,Pathotroph-Saprotroph-Symbiotroph,|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph,Probable,Pathogen,beauveria
Akanthomyces,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,akanthomyces
Metarhizium,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,metarhizium
Ustilaginoidea,Pathotroph-Symbiotroph,Clavicipitaceous Endophyte-|Plant Pathogen|,Possible,Pathogen,ustilaginoidea
Pochonia,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,pochonia
Stachybotrys,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Highly Probable,Pathogen,stachybotrys
Clonostachys,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Probable,Pathogen,clonostachys
Hapsidospora,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,hapsidospora
Colletotrichum,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,colletotrichum
Verticillium,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,verticillium
Plectosphaerella,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,plectosphaerella
Sodiomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,sodiomyces
Scedosporium,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,scedosporium
Lomentospora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lomentospora
Thielaviopsis,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,thielaviopsis
Xylaria,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,xylaria
Nemania,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,nemania
Biscogniauxia,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,biscogniauxia
Durotheca,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,durotheca
Rosellinia,Pathotroph-Saprotroph,|Plant Pathogen|-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,rosellinia
Ustulina,Saprotroph,Undefined Saprotroph,Probable,Other saprotroph,ustulina
Astrocystis,Saprotroph,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,astrocystis
Camillea,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,camillea
Whalleya,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,whalleya
Hypoxylon, Saprotroph-Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,hypoxylon
Daldinia,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,daldinia
Annulohypoxylon,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,annulohypoxylon
Hypomontagnella,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,hypomontagnella
Jackrogersella,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,jackrogersella
Microdochium,Pathotroph-Symbiotroph,Endophyte-|Plant Pathogen|,Possible,Pathogen,microdochium
Pestalotiopsis,Pathotroph,|Plant Pathogen|,Probable,Pathogen,pestalotiopsis
Eutypa,Pathotroph,|Plant Pathogen|,Probable,Pathogen,eutypa
Chaetomium,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Possible,Pathogen,chaetomium
Trichocladium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,trichocladium
Staphylotrichum,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,staphylotrichum
Thermothelomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,thermothelomyces
Corynascus,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,corynascus
Chaetomidium,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,chaetomidium
Dichotomopilus,Saprotroph,|Undefined Saprotroph|,Possible,Other saprotroph,dichotomopilus
Lasiosphaeria,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lasiosphaeria
Cercophora,Saprotroph,|Dung Saprotroph|,Highly Probable,Other saprotroph,cercophora
Apodospora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,apodospora
Apiosordaria,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Highly Probable,Other saprotroph,apiosordaria
Immersiella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,immersiella
Bombardia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,bombardia
Podospora,Saprotroph-Symbiotroph,|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph,Possible,Endophyte,podospora
Cladorrhinum,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph,Probable,Pathogen,cladorrhinum
Neurospora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,neurospora
Sordaria,Pathotroph-Saprotroph,|Dung Saprotroph|-Plant Pathogen-Wood Saprotroph,Probable,Pathogen,sordaria
Schizothecium,Saprotroph,|Dung Saprotroph|,Highly Probable,Other saprotroph,schizothecium
Diplogelasinospora,Saprotroph,Plant Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,diplogelasinospora
Madurella,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,madurella
Ophiostoma,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,ophiostoma
Sporothrix,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,sporothrix
Leptographium,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,leptographium
Diaporthe,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Possible,Pathogen,diaporthe
Cryphonectria,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Highly Probable,Pathogen,cryphonectria
Valsa, Pathotroph,|Plant Pathogen|,Probable,Pathogen,valsa
Gaeumannomyces,Pathotroph,|Plant Pathogen|,Probable,Pathogen,gaeumannomyces
Magnaporthiopsis,Pathotroph,|Undefined Pathogen|,Probable,Pathogen,magnaporthiopsis
Pyricularia,Pathotroph,|Plant Pathogen|,Probable,Pathogen,pyricularia
Coniochaeta,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-|Undefined Saprotroph|,Possible,Pathogen,coniochaeta
Phialemonium,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,phialemonium
Hyaloscypha,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Ectomycorrhizae,hyaloscypha
Phialocephala,Saprotroph-Symbiotroph,Endophyte-|Undefined Saprotroph|,Highly Probable,Endophyte,phialocephala
Acephala,Saprotroph-Symbiotroph,Ectomycorrhizal-Endophyte-|Undefined Saprotroph|,Possible,Ectomycorrhizae,acephala
Mollisia,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,mollisia
Halenospora,Saprotroph,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,halenospora
Cadophora,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|,Highly Probable,Ectomycorrhizae,cadophora
Amylocarpus,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,amylocarpus
Rhexocercosporidium,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,rhexocercosporidium
Sclerotinia,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,sclerotinia
Botrytis,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,botrytis
Leptodontidium,Saprotroph-Symbiotroph,Endophyte-Ericoid Mycorrhizal-|Plant Saprotroph|,Highly Probable,Endophyte,leptodontidium
Rhynchosporium,Pathotroph,|Plant Pathogen|,Probable,Pathogen,rhynchosporium
Drepanopeziza,Pathotroph,|Plant Pathogen|,Probable,Pathogen,drepanopeziza
Calycina,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,calycina
Amorphotheca,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,amorphotheca
Ascocoryne,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,ascocoryne
Pseudogymnoascus,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-|Undefined Saprotroph|,Possible,Pathogen,pseudogymnoascus
Oidiodendron,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|,Probable,Endophyte,oidiodendron
Blumeria, Pathotroph,|Plant Pathogen|,Probable,Pathogen,blumeria
Erysiphe,Pathotroph,|Plant Pathogen|,Probable,Pathogen,erysiphe
Golovinomyces,Pathotroph,|Plant Pathogen|,Probable,Pathogen,golovinomyces
Bipolaris,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,bipolaris
Alternaria,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Possible,Pathogen,alternaria
Pyrenophora,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,pyrenophora
Stemphylium,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Highly Probable,Pathogen,stemphylium
Exserohilum,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,exserohilum
Didymella,Pathotroph-Saprotroph,Animal Pathogen-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,didymella
Boeremia,Pathotroph-Symbiotroph,Endophyte-|Plant Pathogen|,Possible,Pathogen,boeremia
Ascochyta,Pathotroph,Lichen Parasite-|Plant Pathogen|,Probable,Pathogen,ascochyta
Ophiobolus,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Other saprotroph,ophiobolus
Paraphoma,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,paraphoma
Plenodomus,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,plenodomus
Ampelomyces,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,ampelomyces
Bimuria,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,bimuria
Karstenula,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,karstenula
Paraphaeosphaeria,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,paraphaeosphaeria
Byssothecium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,byssothecium
Stagonospora,Pathotroph,|Plant Pathogen|,Probable,Pathogen,stagonospora
Massarina,Pathotroph-Saprotroph,|Plant Pathogen|-Undefined Saprotroph,Probable,Pathogen,massarina
Periconia,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Wood Saprotroph,Possible,Pathogen,periconia
Lentithecium,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,lentithecium
Trematosphaeria,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,trematosphaeria
Clavariopsis,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,clavariopsis
Aaosphaeria,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,aaosphaeria
Lindgomyces,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,lindgomyces
Clohesyomyces,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,clohesyomyces
Westerdykella,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,westerdykella
Corynespora,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-|Plant Pathogen|-Undefined Saprotroph,Probable,Pathogen,corynespora
Pleomassaria,Saprotroph,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,pleomassaria
Polyplosphaeria,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,polyplosphaeria
Melanomma,Saprotroph-Symbiotroph,Lichenized-|Wood Saprotroph|,Highly Probable,Other saprotroph,melanomma
Cenococcum,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,cenococcum
Venturia, Pathotroph-Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,venturia
Verruconis,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,verruconis
Lophium,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,lophium
Lepidopterella,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,lepidopterella
Rhizodiscina,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,rhizodiscina
Hysterium, Saprotroph-Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,hysterium
Zymoseptoria,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,zymoseptoria
Pseudocercospora,Pathotroph,|Plant Pathogen|,Probable,Pathogen,pseudocercospora
Sphaerulina,Pathotroph-Saprotroph-Symbiotroph,Lichenized-Plant Pathogen-|Plant Saprotroph|,Highly Probable,Pathogen,sphaerulina
Cercospora,Pathotroph,|Plant Pathogen|,Probable,Pathogen,cercospora
Friedmanniomyces,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,friedmanniomyces
Hortaea,Pathotroph,|Animal Parasite|-Plant Pathogen,Probable,Pathogen,hortaea
Dissoconium,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,dissoconium
Aureobasidium,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Possible,Pathogen,aureobasidium
Cladosporium,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Possible,Pathogen,cladosporium
Elsinoe,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,elsinoe
Neofusicoccum,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,neofusicoccum
Diplodia,Pathotroph-Saprotroph-Symbiotroph,Epiphyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Possible,Pathogen,diplodia
Macrophomina,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,macrophomina
Botryosphaeria,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,botryosphaeria
Phyllosticta,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Highly Probable,Pathogen,phyllosticta
Aplosporella,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,aplosporella
Zopfia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,zopfia
Lineolata,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lineolata
Trichodelitschia,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,trichodelitschia
Eremomyces,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,eremomyces
Viridothelium,Saprotroph-Symbiotroph,|Lichenized|-Wood Saprotroph,Probable,Other saprotroph,viridothelium
Aspergillus, Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph,Probable,Pathogen,aspergillus
Penicillium,Pathotroph-Saprotroph-Symbiotroph,Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph,Highly Probable,Pathogen,penicillium
Penicilliopsis,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,penicilliopsis
Elaphomyces,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,elaphomyces
Talaromyces,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,talaromyces
Paecilomyces,Pathotroph-Saprotroph-Symbiotroph,Clavicipitaceous |Endophyte|-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,paecilomyces
Blastomyces,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Highly Probable,Pathogen,blastomyces
Emergomyces,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,emergomyces
Trichophyton,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,trichophyton
Paracoccidioides,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,paracoccidioides
Coccidioides,Pathotroph-Saprotroph,Animal Parasite-Animal Pathogen-|Undefined Saprotroph|,Highly Probable,Pathogen,coccidioides
Exophiala,Pathotroph-Saprotroph-Symbiotroph,|Animal Parasite|-Animal Pathogen-Endophyte-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,exophiala
Fonsecaea,Pathotroph-Saprotroph,Animal Pathogen-Plant Saprotroph-|Undefined Saprotroph|,Probable,Pathogen,fonsecaea
Cladophialophora,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|,Probable,Pathogen,cladophialophora
Phialophora,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Possible,Pathogen,phialophora
Capronia,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|,Highly Probable,Pathogen,capronia
Endocarpon,Symbiotroph,|Lichenized|,Highly Probable,NA,endocarpon
Lasallia,Symbiotroph,|Lichenized|,Highly Probable,NA,lasallia
Acarospora,Symbiotroph,|Lichenized|,Highly Probable,NA,acarospora
Tuber, Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,tuber
Choiromyces,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,choiromyces
Tricharina,Saprotroph-Symbiotroph,Endophyte-|Undefined Saprotroph|,Probable,Endophyte,tricharina
Pyronema,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Probable,Endophyte,pyronema
Trichophaea,Saprotroph-Symbiotroph,Dung Saprotroph-|Ectomycorrhizal|-Undefined Saprotroph,Probable,Ectomycorrhizae,trichophaea
Wilcoxina,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,wilcoxina
Sphaerosporella,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,sphaerosporella
Geopyxis,Saprotroph-Symbiotroph,Ectomycorrhizal-Plant Saprotroph-|Undefined Saprotroph|,Possible,Ectomycorrhizae,geopyxis
Terfezia,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,terfezia
Kalaharituber,Saprotroph-Symbiotroph,Ectomycorrhizal-|Undefined Saprotroph|,Possible,Ectomycorrhizae,kalaharituber
Peziza,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Possible,Ectomycorrhizae,peziza
Morchella,Saprotroph-Symbiotroph,Ectomycorrhizal-|Undefined Saprotroph|-Wood Saprotroph,Probable,Ectomycorrhizae,morchella
Ascobolus,Saprotroph,Dung Saprotroph-|Plant Saprotroph|-Wood Saprotroph,Probable,Other saprotroph,ascobolus
Lachancea,Pathotroph-Saprotroph,Animal Parasite-Animal Pathogen-|Undefined Saprotroph|,Possible,Pathogen,lachancea
Candida,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|,Probable,Pathogen,candida
Metschnikowia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,metschnikowia
Lipomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lipomyces
Saitoella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,saitoella
Russula,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,russula
Lactarius,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,lactarius
Lactifluus,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,lactifluus
Auriscalpium,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Probable,Pathogen,auriscalpium
Peniophora,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,peniophora
Amylostereum,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,amylostereum
Gloeopeniophorella,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,gloeopeniophorella
Vararia, Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,vararia
Heterobasidion,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Highly Probable,Pathogen,heterobasidion
Trametes,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,trametes
Ganoderma,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Highly Probable,Pathogen,ganoderma
Polyporus,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,polyporus
Cerioporus,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,cerioporus
Dichomitus,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,dichomitus
Lentinus,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,lentinus
Pilatotrama,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,pilatotrama
Lenzites,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,lenzites
Fomes,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,fomes
Earliella,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,earliella
Fomitopsis,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,fomitopsis
Neoantrodia,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,neoantrodia
Rhodofomes,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,rhodofomes
Phanerodontia,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,phanerodontia
Bjerkandera,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,bjerkandera
Wolfiporia,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,wolfiporia
Phlebia,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,phlebia
Epithele,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,epithele
Irpex,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,irpex
Obba,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,obba
Postia,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,postia
Rhizoctonia,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Probable,Ectomycorrhizae,rhizoctonia
Thanatephorus,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,thanatephorus
