full_id,fa_type,soil_type,10Me17:0,10Me18:0,C14:0,C14:0_3-OH,C14:0i,C14:1w5,C15:0,C15:0a,C15:0i,C15:1w5,C16:0,C16:0_Me,C16:0i,C16:1w5,C16:1w6i,C16:1w7,C16:1w9,C17:0,C17:0_Me,C17:0a,C17:0cy,C17:0i,C17:1w8,C18:0,C18:0i,C18:1w5,C18:1w7,C18:1w9cis,C18:1w9trans,"C18:2w6,9","C18:3w6,9,12",C19:0cy(w9),C19:1w9,info
p_AN_a,PLFA,A,2.27312297761427,8.49732486157154,2.7999023364168,0,2.25608714974341,0,1.87888340630937,20.4128872858368,29.4681993898474,0,43.8043848953713,0,8.64890694780317,11.2280353873721,2.98256437532884,24.8466565602474,2.67876805701756,1.77617361822552,0,9.08641751608412,10.9351591355801,6.89893649343254,2.83741737436062,0,0,2.47583373954865,0,24.4981719389651,29.5699419033076,9.50444080892137,0,0,21.8103792228631,* values in nmolC g-1 dw
p_AN_b,PLFA,A,2.32634769548966,8.59460548452418,2.7338821855765,0,1.93502002218102,0,1.93835351735259,19.7844780525935,28.0233590380732,0,43.1974417189077,0,8.28369364296525,12.0012892777177,2.69007301565772,24.8461149375671,2.60028140923199,1.67579271536586,21.8274832633357,8.61246252935429,10.730863934778,6.77180941163791,2.31452591046683,5.7298727955593,0,2.66329580166747,0,24.9564147350701,29.5483906295232,8.86134986384785,0,0,22.3375804099027,* sample code:
p_AN_c,PLFA,A,2.4002971811811,9.52893804159225,2.86552044510494,0,2.23534286834122,0,2.58641375909207,23.6621320231706,32.1187489681963,0,50.0058042553171,0,9.48698284914252,12.6826387843279,2.97228516583596,27.0377615464866,2.88102036875567,2.03926874982802,23.6630196764012,10.0108178693729,11.6393859608165,7.73350516369072,2.68175917810445,12.6492978935727,0,2.87370134844144,0,27.6791081713363,33.1018616855768,15.7785431785209,0,0,23.8333117063503,* A – Agricultural soil
p_AN_d,PLFA,A,2.12880764873975,8.90587730043163,2.54465992614405,0,1.79247374234802,0,2.32084279683765,18.8388583750758,27.3921196206787,0,41.1273958743176,0,8.21016036855164,10.7362445774841,3.24369036603834,24.3711565214006,2.87799916475647,1.80454332008473,20.946886166951,0,10.7542901579396,6.67577963505177,2.19120231553936,0,0,2.96583448510326,0,25.3598651937988,30.2365096150419,10.6576858006572,0,0,22.4450578690351,* F – Beech forest soil
n_AN_a,NLFA,A,0,0,3.19861817987802,0,0.68739401429064,0,1.4488699675322,4.50676708142824,10.4353971568871,0,22.5977784654797,0,2.31053823735866,24.4318545368159,0,24.4257425611499,0.757891816715071,2.4302429546109,4.54297659281008,0,0,2.48662465488432,0,2019.82118593224,0,0,0,45.9202368372229,12.6354937450229,24.237861424668,0.734508075916325,0,0,* G – Grassland soil
n_AN_b,NLFA,A,0.932553597558506,0,2.99257596319342,0,0.562879769730132,0,1.58628373507914,4.45748059271599,9.94919523335302,0,44.2822043386524,0,2.14632393452169,21.6472549917946,0,26.5354859743525,0,1.99083032747668,4.65066979276271,0.515145841683045,0,2.41543133523939,0,495.398585846161,0,0,0,40.4251474733043,10.7837589475308,19.8813860092199,0.824213152109088,0,0,
n_AN_c,NLFA,A,0.716902269391625,0,5.34331129354494,0,0.680847999069547,0,2.07154204126207,4.40764709141762,10.5929198118899,0,86.7957179189051,0,2.1838957168638,30.2636563959736,0,29.3597798279612,3.67239806048906,2.74127678957974,0,0,0,2.27182812028656,0,637.706381569737,0,0,0,55.0135018829563,14.9360521821954,33.9470115336623,1.43779058579628,0,0,
n_AN_d,NLFA,A,0.762979685748128,0,3.19800903347964,0,0.914235952342607,0,1.75232633081943,4.47025554402644,0,0,78.2213389772968,0,2.21780562689802,37.6832519134386,0,34.5791719397507,0.786456853393069,2.56774564316891,2.503373641719,0,0,2.45562757581995,0,0,0,0,0,43.1529378339408,14.836251917271,22.2741988210675,1.01285993668245,0,0,
g_AN_a,GLFA,A,0.859092067437628,0,2.71778397125432,0,0.92431103070001,0,1.9266796921172,0,5.66142610043307,0,35.4432453800888,0,1.9872986084009,1.29161817573802,0,4.85589098872212,0.433797392241126,0,3.68278611692894,0,0,1.61039113039999,0,0,0,0,0,9.75388701731712,3.80007362894326,6.71500946192283,0,0,1.96289901922695,
g_AN_b,GLFA,A,0.847103401793599,5.02942945930077,0,0,0.978528824853592,0,2.12627171460968,0,5.80069757235164,0,44.6803755956863,0,2.01873684982181,1.44344241658452,0,4.49970204989278,0,2.37223548765719,3.8028810932262,0,0,1.52893816384059,0,0,0,0,0,10.1043874651763,3.75283956103774,7.15286591998573,0,0,2.03409939345035,
g_AN_c,GLFA,A,0.917651982108807,5.2381330520581,2.83148648615213,0,1.70836660313601,0,2.11418257612222,0,6.15957692054793,0,40.8270112334052,0,2.22331817076199,1.41747386249819,0,4.89811411760962,0.437036574803192,2.40561670858367,4.1959970034697,0,0.952222460257543,1.97289018455873,0,0,0,0,0,10.0906206646629,3.99938969383166,7.33263105901592,0,0,2.21787935922601,
g_AN_d,GLFA,A,0,0,0,0,0.938053760979921,0,2.08492144781423,0,5.51155494211112,0,36.9871527683059,0,1.88317481711622,1.72674785025449,0,4.46334828175778,0,2.06241532344885,4.57121093376847,0,2.73849150731015,1.66301873406917,0,0,0,0,0,9.31150363209791,3.65549022422918,7.03593958051282,0,0,0,
p_FN_a,PLFA,F,6.54645527429821,23.5364229853455,11.1781923028961,0,21.8390610802427,0.921229038782882,9.50628127449762,106.650751932131,102.144297996778,1.08031167398927,333.447332316367,47.3472320224591,38.8681114590052,89.3376519113011,9.6385695483907,168.27082433702,0,8.41540828978475,175.335352609421,38.5731257903087,76.1791879108708,26.591978703338,10.9461312584998,68.5745472267624,0.31819653506012,33.4821785014651,0,270.075757783154,629.863029971467,119.824671599853,4.03427434615694,5.32013716223022,208.037283917255,
p_FN_b,PLFA,F,7.5822223942508,31.4227390528518,14.558526096176,0,30.0456013533056,1.16793870178056,12.5172885213799,155.573018870915,151.649333940823,1.29440545997941,479.089654321673,70.8069495582008,49.6864949620828,135.702394560081,11.8176424873202,262.944186146808,0,11.5204841739302,271.106174429975,52.6148768200528,114.313097436824,38.9680366368163,15.3005766668839,103.206406166511,0.393952829872925,51.8892592152202,0,408.419790667961,868.982481126294,176.050169429884,4.25998103943305,7.15454280849025,322.909246398901,
p_FN_c,PLFA,F,9.09563790066096,33.8012152218924,16.3660853714923,0,33.5279803605615,1.25192084805227,13.3208867673094,163.030413604444,157.549464678254,1.61041385831908,499.507638763075,70.7714015127616,56.160418650229,138.751483386464,13.3158179151324,266.392671960025,0,11.5883404705725,269.000563056742,57.5085065385313,115.478964045063,40.1380095999772,16.1665415447432,141.058976816635,0.416447265554869,53.7601322850546,0,408.010573493348,895.495720852531,166.485368465162,4.91678366832003,7.72122431541724,305.058190105536,
p_FN_d,PLFA,F,9.11876637406907,38.8953775995195,18.2871227427424,0,38.121346691662,1.39460089956594,14.6966084140631,196.872062238817,187.593364828916,1.51551342697296,587.240067074402,89.4309618798149,60.8522079931355,176.038431241057,14.2237993647454,334.663564755542,0,13.5298869271999,342.34743012874,66.2007924288025,150.578580193376,50.0638640024761,18.9025652069332,128.016247679691,0,69.211514046172,0,485.529227554747,1056.63660906558,179.291518940157,4.38651795268474,9.07411601937398,413.326159461054,
n_FN_a,NLFA,F,12.059696565349,40.4948638122866,47.898985989761,0,14.6477167469254,7.19227552651682,18.7349575859041,69.8803900891595,107.607540431884,0,347.199242062532,0,58.6709243857863,119.46515063385,15.068563209578,66.1750850199639,6.20917018030659,24.1683249033474,57.3738315884214,35.7493428777005,35.8208322993506,31.9702672715596,0,1091.42717477013,0.786391616750501,4.87976339258145,0,310.667707078001,115.317807558848,178.904344796443,7.74893681714834,40.3239161419706,40.8345490443482,
n_FN_b,NLFA,F,21.7016676462863,62.0762588990378,100.041746072089,0,27.749767879418,9.30672932469821,34.454969760454,118.073501756851,197.668122407595,0,625.374650040862,0,96.9465664534076,180.634287147612,23.9418267580475,107.390969153566,9.34995500708349,28.4769062080145,82.6922664546131,57.4986636998947,50.8105568385382,47.6433189173861,0,1731.05860353704,1.57284492276904,6.51021966569607,0,644.034689411039,176.299014491492,403.524244213039,13.8146487931367,55.7042877209214,54.4223882608348,
n_FN_c,NLFA,F,13.3849805149159,52.9192276119057,70.2781949051964,0,24.5349520200435,7.86164696804066,23.8871465194226,99.4892106852167,150.136560456917,0,442.532730209971,0.397172190906131,72.7996986614395,139.769993290243,19.2773090931916,86.0251251830323,0,19.6263479865332,80.7169344998379,41.5440028010224,38.2567275314776,34.4381755178525,94.3854655711199,1220.29701177844,0.72874360466346,6.67941019312338,0,316.21410261814,142.830897286825,217.208571638318,7.94592847708204,52.9611254204408,48.8939382377965,
n_FN_d,NLFA,F,18.9228352225593,73.4992826584509,112.465462074048,6.70579858801387,30.610924083718,8.5549847679773,34.3135233274458,140.668493189712,228.336440318097,6.37102873785979,528.422015840399,0,109.583148706022,212.482000399232,25.2451279351581,128.469622454942,0,29.8065729327987,102.418968121758,73.4299596966121,59.2835998639815,55.6623351689072,0,982.612007203768,1.77232751536949,8.66963319814101,0,565.886028911876,212.252920794789,279.932571454773,12.3844882163933,70.1212521722313,65.5799278972103,
g_FN_a,GLFA,F,3.53974544840659,10.3816358806811,37.19686036897,2.37947640123035,36.4942116052717,3.12633597654162,0,0,30.7628608251105,0,167.304238325219,0,15.2905361944155,20.4437983345269,6.81661313430848,26.406050551065,0,6.59158985446348,20.3961493500595,0,10.9568141703167,8.58625497631652,0,0,2.85819507708545,2.17854315788054,0,111.677320791723,70.47701150434,48.9743419140462,0,17.9999269043211,47.9467669644886,
