sampleID,db_name,samp_name,taxonomic_rank,filter_status,taxon_group,reads_classified,seq_depth,pct_classified
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,phylum,before,fungi,151486,5846494,2.591057136122948
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,class,before,all_domain,2238000,5846494,38.27935169351068
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,order,before,all_domain,2025074,5846494,34.63740833395194
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,family,before,all_domain,1904540,5846494,32.5757624997135
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,genus,before,all_domain,1447130,5846494,24.752099292328015
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,species,before,all_domain,1394940,5846494,23.859427547518223
BART_036-O-20170613-COMP,soil_microbe_db,BART_036-O-20170613-COMP_soil_microbe_db,strain,before,all_domain,163203,5846494,2.791467843805193
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,phylum,before,all_domain,2487849,11175945,22.260748419932273
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,phylum,before,fungi,246488,11175945,2.2055226649737447
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,class,before,all_domain,2387595,11175945,21.363696761213482
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,order,before,all_domain,2116977,11175945,18.942263942780677
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,family,before,all_domain,2069389,11175945,18.516456550206716
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,genus,before,all_domain,1677728,11175945,15.011956483321992
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,species,before,all_domain,1526749,11175945,13.661028217300638
BART_040-O-20160727-COMP,soil_microbe_db,BART_040-O-20160727-COMP_soil_microbe_db,strain,before,all_domain,227412,11175945,2.0348346381446936
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,phylum,before,all_domain,2294600,5428436,42.270001893731454
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,phylum,before,fungi,122889,5428436,2.263801212724991
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,class,before,all_domain,2192563,5428436,40.39032605339733
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,order,before,all_domain,2007343,5428436,36.9782935637447
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,family,before,all_domain,1862308,5428436,34.30652954184226
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,genus,before,all_domain,1463094,5428436,26.952403970499056
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,species,before,all_domain,1363551,5428436,25.118671381591305
BART_040-O-20170613-COMP,soil_microbe_db,BART_040-O-20170613-COMP_soil_microbe_db,strain,before,all_domain,140289,5428436,2.5843355250020448
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,phylum,before,all_domain,1078512,2551384,42.27164550690919
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,phylum,before,fungi,48615,2551384,1.905436421957651
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,class,before,all_domain,1020082,2551384,39.98151591449974
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,order,before,all_domain,934277,2551384,36.61843924709099
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,family,before,all_domain,854467,2551384,33.490333089805375
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,genus,before,all_domain,701152,2551384,27.481241553603848
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,species,before,all_domain,645577,2551384,25.30301201230391
BART_042-O-20170613-COMP,soil_microbe_db,BART_042-O-20170613-COMP_soil_microbe_db,strain,before,all_domain,59518,2551384,2.3327731145135346
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,phylum,before,all_domain,3528213,7285829,48.42569047393234
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,phylum,before,fungi,230532,7285829,3.1641148865832567
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,class,before,all_domain,3401703,7285829,46.68930604876947
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,order,before,all_domain,3121544,7285829,42.84404698490727
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,family,before,all_domain,2994661,7285829,41.10254303250873
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,genus,before,all_domain,2491616,7285829,34.19811252775765
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,species,before,all_domain,2235314,7285829,30.68029732786756
BART_071-O-20170613-COMP,soil_microbe_db,BART_071-O-20170613-COMP_soil_microbe_db,strain,before,all_domain,226701,7285829,3.1115333615433465
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,phylum,before,all_domain,1251770,3484516,35.92378396310994
