ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
335405	BL1bin.6	Allosphingosinicella	Bacteria	Pseudomonadota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/SMAG/BL1bin.6.fa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	SMAG	Y
2803845	BRice_131bin.7	Usitatibacter	Bacteria	Pseudomonadota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/SMAG/BRice_131bin.7.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter;s__	SMAG	Y
32199	BRice_140bin.2	Buchnera	Bacteria	Pseudomonadota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/SMAG/BRice_140bin.2.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buchnera;s__	SMAG	Y
41294	BRice_17rbin.1	UBA8389	Bacteria	Bacteroidota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/SMAG/BRice_17rbin.1.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1402;g__UBA8389;s__	SMAG	Y
83778	BRice_17rbin.3	Kineosporiaceae	Bacteria	Actinomycetota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/SMAG/BRice_17rbin.3.fa	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__;s__	SMAG	Y
