ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
2024894	3300025553_9	Palsa-742 sp003152015	Bacteria	Actinobacteriota	Palsa-742 sp003152015	/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/GEM/3300025553_9.fna.gz	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Palsa-742;s__Palsa-742 sp003152015	Nayfach_MAGs	Y
41294	3300026281_6	Gp1-AA17	Bacteria	Acidobacteriota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/GEM/3300026281_6.fna.gz	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA117;g__Gp1-AA17;s__	Nayfach_MAGs	Y
41294	3300026294_6	UBA8621	Bacteria	Bacteroidota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/GEM/3300026294_6.fna.gz	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__	Nayfach_MAGs	Y
99479	3300027821_4	Tetrasphaera	Bacteria	Actinobacteriota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/GEM/3300027821_4.fna.gz	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__	Nayfach_MAGs	Y
1033997	3300027821_8	Nitrososphaeraceae	Archaea	Crenarchaeota		/Users/zoeywerbin/Desktop/SoilMicrobeDB/data/genome_database/GEM/3300027821_8.fna.gz	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Nayfach_MAGs	Y
