ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
14	GCA_011333985.1	GCA_011333985.1	Dictyoglomus thermophilum	Bacteria	Dictyoglomota	Dictyoglomus thermophilum	d__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales;f__Dictyoglomaceae;g__Dictyoglomus;s__Dictyoglomus thermophilum	GTDB_207	Y
78	GCA_017745235.1	GCA_017745235.1	Caulobacter sp.	Bacteria	Pseudomonadota	Caulobacter sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__	GTDB_207	Y
82	GCA_016716675.1	GCA_016716675.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_003987855.1	GCA_003987855.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_002928735.1	GCA_002928735.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_017512425.1	GCA_017512425.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_013141015.1	GCA_013141015.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
87	GCA_018402285.1	GCA_018402285.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
87	GCA_016124495.1	GCA_016124495.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
87	GCA_017792365.1	GCA_017792365.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
163	GCA_015061465.1	GCA_015061465.1	Treponema bryantii	Bacteria	Spirochaetota	Treponema bryantii	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__Treponema bryantii	GTDB_207	Y
166	GCA_018064905.1	GCA_018064905.1	Treponema sp.	Bacteria	Spirochaetota	Treponema sp.	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	GTDB_207	Y
166	GCA_016293915.1	GCA_016293915.1	Treponema sp.	Bacteria	Spirochaetota	Treponema sp.	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	GTDB_207	Y
166	GCA_016293495.1	GCA_016293495.1	Treponema sp.	Bacteria	Spirochaetota	Treponema sp.	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	GTDB_207	Y
166	GCA_018385315.1	GCA_018385315.1	Treponema sp.	Bacteria	Spirochaetota	Treponema sp.	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	GTDB_207	Y
166	GCA_017381365.1	GCA_017381365.1	Treponema sp.	Bacteria	Spirochaetota	Treponema sp.	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	GTDB_207	Y
192	GCA_003349955.1	GCA_003349955.1	Azospirillum brasilense	Bacteria	Pseudomonadota	Azospirillum brasilense	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum brasilense	GTDB_207	Y
192	GCA_007827795.1	GCA_007827795.1	Azospirillum brasilense	Bacteria	Pseudomonadota	Azospirillum brasilense	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum brasilense	GTDB_207	Y
199	GCA_003049085.1	GCA_003049085.1	Campylobacter concisus	Bacteria	Campylobacterota	Campylobacter concisus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus	GTDB_207	Y
199	GCA_902460705.1	GCA_902460705.1	Campylobacter concisus	Bacteria	Campylobacterota	Campylobacter concisus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus	GTDB_207	Y
199	GCA_003048535.1	GCA_003048535.1	Campylobacter concisus	Bacteria	Campylobacterota	Campylobacter concisus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus	GTDB_207	Y
199	GCA_003048595.2	GCA_003048595.2	Campylobacter concisus	Bacteria	Campylobacterota	Campylobacter concisus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus	GTDB_207	Y
199	GCA_902460545.1	GCA_902460545.1	Campylobacter concisus	Bacteria	Campylobacterota	Campylobacter concisus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus	GTDB_207	Y
205	GCA_017934385.1	GCA_017934385.1	Campylobacter sp.	Bacteria	Campylobacterota	Campylobacter sp.	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	GTDB_207	Y
205	GCA_017940085.1	GCA_017940085.1	Campylobacter sp.	Bacteria	Campylobacterota	Campylobacter sp.	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	GTDB_207	Y
210	GCA_001653475.1	GCA_001653475.1	Helicobacter pylori	Bacteria	Campylobacterota	Helicobacter pylori	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	GTDB_207	Y
210	GCA_009689985.1	GCA_009689985.1	Helicobacter pylori	Bacteria	Campylobacterota	Helicobacter pylori	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	GTDB_207	Y
239	GCA_017985075.1	GCA_017985075.1	Flavobacterium sp.	Bacteria	Bacteroidota	Flavobacterium sp.	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
239	GCA_015665265.1	GCA_015665265.1	Flavobacterium sp.	Bacteria	Bacteroidota	Flavobacterium sp.	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
239	GCA_017995345.1	GCA_017995345.1	Flavobacterium sp.	Bacteria	Bacteroidota	Flavobacterium sp.	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
239	GCA_004211145.1	GCA_004211145.1	Flavobacterium sp.	Bacteria	Bacteroidota	Flavobacterium sp.	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
239	GCA_015234525.1	GCA_015234525.1	Flavobacterium sp.	Bacteria	Bacteroidota	Flavobacterium sp.	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
277	GCA_011327565.1	GCA_011327565.1	Meiothermus ruber	Bacteria	Deinococcota	Meiothermus ruber	d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus;s__Meiothermus ruber	GTDB_207	Y
294	GCA_001679645.1	GCA_001679645.1	Pseudomonas fluorescens	Bacteria	Pseudomonadota	Pseudomonas fluorescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens	GTDB_207	Y
294	GCA_000967965.1	GCA_000967965.1	Pseudomonas fluorescens	Bacteria	Pseudomonadota	Pseudomonas fluorescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens	GTDB_207	Y
294	GCA_902497855.1	GCA_902497855.1	Pseudomonas fluorescens	Bacteria	Pseudomonadota	Pseudomonas fluorescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens	GTDB_207	Y
294	GCA_001902145.1	GCA_001902145.1	Pseudomonas fluorescens	Bacteria	Pseudomonadota	Pseudomonas fluorescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens	GTDB_207	Y
294	GCA_902497895.1	GCA_902497895.1	Pseudomonas fluorescens	Bacteria	Pseudomonadota	Pseudomonas fluorescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens	GTDB_207	Y
303	GCA_001636055.1	GCA_001636055.1	Pseudomonas putida	Bacteria	Pseudomonadota	Pseudomonas putida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	GTDB_207	Y
303	GCA_002736125.1	GCA_002736125.1	Pseudomonas putida	Bacteria	Pseudomonadota	Pseudomonas putida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	GTDB_207	Y
303	GCA_002094795.1	GCA_002094795.1	Pseudomonas putida	Bacteria	Pseudomonadota	Pseudomonas putida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	GTDB_207	Y
303	GCA_002906855.1	GCA_002906855.1	Pseudomonas putida	Bacteria	Pseudomonadota	Pseudomonas putida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	GTDB_207	Y
303	GCA_002741075.1	GCA_002741075.1	Pseudomonas putida	Bacteria	Pseudomonadota	Pseudomonas putida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	GTDB_207	Y
316	GCA_009789555.1	GCA_009789555.1	Pseudomonas stutzeri	Bacteria	Pseudomonadota	Stutzerimonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	GTDB_207	Y
316	GCA_002890895.1	GCA_002890895.1	Pseudomonas stutzeri	Bacteria	Pseudomonadota	Stutzerimonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	GTDB_207	Y
316	GCA_002476945.1	GCA_002476945.1	Pseudomonas stutzeri	Bacteria	Pseudomonadota	Stutzerimonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	GTDB_207	Y
316	GCA_000935215.1	GCA_000935215.1	Pseudomonas stutzeri	Bacteria	Pseudomonadota	Stutzerimonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	GTDB_207	Y
316	GCA_015291885.1	GCA_015291885.1	Pseudomonas stutzeri	Bacteria	Pseudomonadota	Stutzerimonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	GTDB_207	Y
329	GCA_016466415.1	GCA_016466415.1	Ralstonia pickettii	Bacteria	Pseudomonadota	Ralstonia pickettii	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii	GTDB_207	Y
343	GCA_014197395.1	GCA_014197395.1	Xanthomonas translucens	Bacteria	Pseudomonadota	Xanthomonas translucens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas translucens	GTDB_207	Y
343	GCA_007829315.1	GCA_007829315.1	Xanthomonas translucens	Bacteria	Pseudomonadota	Xanthomonas translucens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas translucens	GTDB_207	Y
358	GCA_017744915.1	GCA_017744915.1	Agrobacterium tumefaciens	Bacteria	Pseudomonadota	Agrobacterium tumefaciens	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens	GTDB_207	Y
358	GCA_002943835.1	GCA_002943835.1	Agrobacterium tumefaciens	Bacteria	Pseudomonadota	Agrobacterium tumefaciens	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens	GTDB_207	Y
359	GCA_000745725.1	GCA_000745725.1	Agrobacterium rhizogenes	Bacteria	Pseudomonadota	Rhizobium rhizogenes	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium rhizogenes	GTDB_207	Y
359	GCA_000745735.1	GCA_000745735.1	Agrobacterium rhizogenes	Bacteria	Pseudomonadota	Rhizobium rhizogenes	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium rhizogenes	GTDB_207	Y
373	GCA_014204625.1	GCA_014204625.1	Agrobacterium vitis	Bacteria	Pseudomonadota	Agrobacterium vitis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium vitis	GTDB_207	Y
376	GCA_016213215.1	GCA_016213215.1	Bradyrhizobium sp.	Bacteria	Pseudomonadota	Bradyrhizobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__	GTDB_207	Y
376	GCA_017881085.1	GCA_017881085.1	Bradyrhizobium sp.	Bacteria	Pseudomonadota	Bradyrhizobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__	GTDB_207	Y
384	GCA_014198335.1	GCA_014198335.1	Rhizobium leguminosarum	Bacteria	Pseudomonadota	Rhizobium leguminosarum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum	GTDB_207	Y
384	GCA_000745655.1	GCA_000745655.1	Rhizobium leguminosarum	Bacteria	Pseudomonadota	Rhizobium leguminosarum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum	GTDB_207	Y
398	GCA_003001755.1	GCA_003001755.1	Rhizobium tropici	Bacteria	Pseudomonadota	Rhizobium tropici	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium tropici	GTDB_207	Y
440	GCA_017413025.1	GCA_017413025.1	Acetobacter sp.	Bacteria	Pseudomonadota	Acetobacter sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter;s__	GTDB_207	Y
459	GCA_009995425.1	GCA_009995425.1	Legionella sp.	Bacteria	Pseudomonadota	Legionella sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	GTDB_207	Y
459	GCA_002786165.1	GCA_002786165.1	Legionella sp.	Bacteria	Pseudomonadota	Legionella sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	GTDB_207	Y
459	GCA_013911415.1	GCA_013911415.1	Legionella sp.	Bacteria	Pseudomonadota	Legionella sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	GTDB_207	Y
459	GCA_002786205.1	GCA_002786205.1	Legionella sp.	Bacteria	Pseudomonadota	Legionella sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	GTDB_207	Y
472	GCA_008017315.1	GCA_008017315.1	Acinetobacter sp.	Bacteria	Pseudomonadota	Acinetobacter sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	GTDB_207	Y
498	GCA_904846265.1	GCA_904846265.1	Psychrobacter immobilis	Bacteria	Pseudomonadota	Psychrobacter immobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter immobilis	GTDB_207	Y
498	GCA_904846225.1	GCA_904846225.1	Psychrobacter immobilis	Bacteria	Pseudomonadota	Psychrobacter immobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter immobilis	GTDB_207	Y
498	GCA_904846235.1	GCA_904846235.1	Psychrobacter immobilis	Bacteria	Pseudomonadota	Psychrobacter immobilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter immobilis	GTDB_207	Y
545	GCA_900446925.1	GCA_900446925.1	Citrobacter koseri	Bacteria	Pseudomonadota	Citrobacter koseri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter koseri	GTDB_207	Y
687	GCA_002196515.1	GCA_002196515.1	Vibrio gazogenes	Bacteria	Pseudomonadota	Vibrio gazogenes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio gazogenes	GTDB_207	Y
729	GCA_003252795.1	GCA_003252795.1	Haemophilus parainfluenzae	Bacteria	Pseudomonadota	Haemophilus parainfluenzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae	GTDB_207	Y
729	GCA_003252725.1	GCA_003252725.1	Haemophilus parainfluenzae	Bacteria	Pseudomonadota	Haemophilus parainfluenzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae	GTDB_207	Y
789	GCA_015657545.1	GCA_015657545.1	Rickettsia sp.	Bacteria	Pseudomonadota	Rickettsia sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__	GTDB_207	Y
823	GCA_015060925.1	GCA_015060925.1	Parabacteroides distasonis	Bacteria	Bacteroidota	Parabacteroides distasonis	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	GTDB_207	Y
833	GCA_902771595.1	GCA_902771595.1	Fibrobacter succinogenes	Bacteria	Fibrobacterota	Fibrobacter succinogenes	d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes	GTDB_207	Y
833	GCA_902756345.1	GCA_902756345.1	Fibrobacter succinogenes	Bacteria	Fibrobacterota	Fibrobacter succinogenes	d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes	GTDB_207	Y
833	GCA_902762795.1	GCA_902762795.1	Fibrobacter succinogenes	Bacteria	Fibrobacterota	Fibrobacter succinogenes	d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes	GTDB_207	Y
833	GCA_902794535.1	GCA_902794535.1	Fibrobacter succinogenes	Bacteria	Fibrobacterota	Fibrobacter succinogenes	d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes	GTDB_207	Y
833	GCA_902779055.1	GCA_902779055.1	Fibrobacter succinogenes	Bacteria	Fibrobacterota	Fibrobacter succinogenes	d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes	GTDB_207	Y
853	GCA_002549755.1	GCA_002549755.1	Faecalibacterium prausnitzii	Bacteria	Bacillota	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GTDB_207	Y
853	GCA_003287405.1	GCA_003287405.1	Faecalibacterium prausnitzii	Bacteria	Bacillota	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GTDB_207	Y
853	GCA_002550035.1	GCA_002550035.1	Faecalibacterium prausnitzii	Bacteria	Bacillota	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GTDB_207	Y
853	GCA_003287495.1	GCA_003287495.1	Faecalibacterium prausnitzii	Bacteria	Bacillota	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GTDB_207	Y
853	GCA_002549975.1	GCA_002549975.1	Faecalibacterium prausnitzii	Bacteria	Bacillota	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	GTDB_207	Y
883	GCA_000021385.1	GCA_000021385.1	Desulfovibrio vulgaris str. 'Miyazaki F'	Bacteria	Thermodesulfobacteriota	Desulfovibrio vulgaris	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio vulgaris	GTDB_207	Y
885	GCA_004796465.1	GCA_004796465.1	Desulfovibrio sp.	Bacteria	Thermodesulfobacteriota	Desulfovibrio sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	GTDB_207	Y
885	GCA_017613715.1	GCA_017613715.1	Desulfovibrio sp.	Bacteria	Thermodesulfobacteriota	Desulfovibrio sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	GTDB_207	Y
885	GCA_017396005.1	GCA_017396005.1	Desulfovibrio sp.	Bacteria	Thermodesulfobacteriota	Desulfovibrio sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	GTDB_207	Y
885	GCA_017415765.1	GCA_017415765.1	Desulfovibrio sp.	Bacteria	Thermodesulfobacteriota	Desulfovibrio sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	GTDB_207	Y
885	GCA_017528345.1	GCA_017528345.1	Desulfovibrio sp.	Bacteria	Thermodesulfobacteriota	Desulfovibrio sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	GTDB_207	Y
892	GCA_002868905.1	GCA_002868905.1	Desulfuromonas sp.	Bacteria	Thermodesulfobacteriota	Desulfuromonas sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	GTDB_207	Y
892	GCA_002868925.1	GCA_002868925.1	Desulfuromonas sp.	Bacteria	Thermodesulfobacteriota	Desulfuromonas sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	GTDB_207	Y
892	GCA_002869685.1	GCA_002869685.1	Desulfuromonas sp.	Bacteria	Thermodesulfobacteriota	Desulfuromonas sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	GTDB_207	Y
892	GCA_002869665.1	GCA_002869665.1	Desulfuromonas sp.	Bacteria	Thermodesulfobacteriota	Desulfuromonas sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__	GTDB_207	Y
895	GCA_012729435.1	GCA_012729435.1	Desulfobulbus sp.	Bacteria	Thermodesulfobacteriota	Desulfobulbus sp.	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus;s__	GTDB_207	Y
