ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
2135718	GCA_004364225.1	GCA_004364225.1	Pedobacter sp. OK701	Bacteria	Bacteroidota	Pedobacter sp. OK701	d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	GTDB_207	Y
2135719	GCA_003054115.1	GCA_003054115.1	Pedobacter sp. YR016	Bacteria	Bacteroidota	Pedobacter sp. YR016	d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	GTDB_207	Y
2135721	GCA_003550215.1	GCA_003550215.1	Pelomonas sp. BT06	Bacteria	Pseudomonadota	Pelomonas sp. BT06	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__	GTDB_207	Y
2135722	GCA_004366315.1	GCA_004366315.1	Pleomorphomonas sp. CF100	Bacteria	Pseudomonadota	Pleomorphomonas sp. CF100	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__	GTDB_207	Y
2135726	GCA_004339425.1	GCA_004339425.1	Pusillimonas sp. YR330	Bacteria	Pseudomonadota	Pusillimonas sp. YR330	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pusillimonas;s__	GTDB_207	Y
2135728	GCA_003386655.1	GCA_003386655.1	Rhodococcus sp. OK269	Bacteria	Actinomycetota	Rhodococcus sp. OK269	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__	GTDB_207	Y
2135732	GCA_004340105.1	GCA_004340105.1	Variovorax sp. BT01	Bacteria	Pseudomonadota	Variovorax sp. BT01	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__	GTDB_207	Y
2135734	GCA_003053685.1	GCA_003053685.1	Variovorax sp. GV040	Bacteria	Pseudomonadota	Variovorax sp. GV040	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__	GTDB_207	Y
2135736	GCA_003053545.1	GCA_003053545.1	Acidovorax sp. CF301	Bacteria	Pseudomonadota	Acidovorax sp. CF301	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__	GTDB_207	Y
2135738	GCA_003053985.1	GCA_003053985.1	Asticcacaulis sp. CF398	Bacteria	Pseudomonadota	Asticcacaulis sp. CF398	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__	GTDB_207	Y
2135741	GCA_003053645.1	GCA_003053645.1	Bacillus sp. OV186	Bacteria	Bacillota	Bacillus sp. OV186	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	GTDB_207	Y
2135745	GCA_004363795.1	GCA_004363795.1	Mycobacterium sp. OK889	Bacteria	Actinomycetota	Mycobacterium sp. OK889	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	GTDB_207	Y
2135750	GCA_003053605.1	GCA_003053605.1	Pseudomonas sp. GV041	Bacteria	Pseudomonadota	Pseudomonas sp. GV041	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	GTDB_207	Y
2135758	GCA_003053805.1	GCA_003053805.1	Pseudomonas sp. GV091	Bacteria	Pseudomonadota	Pseudomonas sp. GV091	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	GTDB_207	Y
2135763	GCA_003217415.1	GCA_003217415.1	Flavobacterium sp. GV069	Bacteria	Bacteroidota	Flavobacterium sp. GV069	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
2135764	GCA_003688345.1	GCA_003688345.1	Flavobacterium sp. GV029	Bacteria	Bacteroidota	Flavobacterium sp. GV029	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	GTDB_207	Y
2135765	GCA_004363885.1	GCA_004363885.1	Cellvibrio sp. YR554	Bacteria	Pseudomonadota	Cellvibrio sp. YR554	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Cellvibrio;s__	GTDB_207	Y
2135772	GCA_004345375.1	GCA_004345375.1	Nitrosomonas sp. Nm134	Bacteria	Pseudomonadota	Nitrosomonas sp. Nm134	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	GTDB_207	Y
2135783	GCA_003053905.1	GCA_003053905.1	Nitrosospira sp. Nsp37	Bacteria	Pseudomonadota	Nitrosospira sp. Nsp37	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__	GTDB_207	Y
2135784	GCA_003046405.1	GCA_003046405.1	Nitrosospira sp. Nsp22	Bacteria	Pseudomonadota	Nitrosospira sp. Nsp22	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__	GTDB_207	Y
2135786	GCA_003634225.1	GCA_003634225.1	Streptomyces sp. 3212.4	Bacteria	Actinomycetota	Streptomyces sp. 3212.4	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	GTDB_207	Y
2135812	GCA_007827395.1	GCA_007827395.1	Rhodobacteraceae bacterium PT6CLA	Bacteria	Pseudomonadota	Rhodobacteraceae bacterium PT6CLA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	GTDB_207	Y
2137776	GCA_003034855.1	GCA_003034855.1	archaeon SCG-AAA382B04	Archaea		archaeon SCG-AAA382B04	d__Archaea;p__;c__;o__;f__;g__;s__	GTDB_207	Y
2137878	GCA_017442105.1	GCA_017442105.1	Selenomonadales bacterium	Bacteria	Bacillota	Selenomonadales bacterium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__;g__;s__	GTDB_207	Y
2137878	GCA_018335585.1	GCA_018335585.1	Selenomonadales bacterium	Bacteria	Bacillota	Selenomonadales bacterium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__;g__;s__	GTDB_207	Y
2137880	GCA_905234865.1	GCA_905234865.1	Candidatus Gastranaerophilales bacterium	Bacteria	Candidatus Melainabacteria	Candidatus Gastranaerophilales bacterium	d__Bacteria;p__Candidatus Melainabacteria;c__;o__Candidatus Gastranaerophilales;f__;g__;s__	GTDB_207	Y
2137880	GCA_910586855.1	GCA_910586855.1	Candidatus Gastranaerophilales bacterium	Bacteria	Candidatus Melainabacteria	Candidatus Gastranaerophilales bacterium	d__Bacteria;p__Candidatus Melainabacteria;c__;o__Candidatus Gastranaerophilales;f__;g__;s__	GTDB_207	Y
2137880	GCA_910587175.1	GCA_910587175.1	Candidatus Gastranaerophilales bacterium	Bacteria	Candidatus Melainabacteria	Candidatus Gastranaerophilales bacterium	d__Bacteria;p__Candidatus Melainabacteria;c__;o__Candidatus Gastranaerophilales;f__;g__;s__	GTDB_207	Y
