sample_id,taxon,percentage_csv,percentage_kreport,diff,abs_diff,pct_diff
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Chytridiomycota,0.327,0.3319090056000803,-0.004909005600080285,0.004909005600080285,1.4790215141059426
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Cyanobacteriota,0.264,0.2252696802773835,0.03873031972261651,0.03873031972261651,14.670575652506251
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Deferribacterota,0.001,0,0.001,0.001,100
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Deinococcota,0.11100000000000002,0.11997766165491028,-0.008977661654910263,0.008977661654910263,7.4827776530039065
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Elusimicrobiota,0.013,0,0.013,0.013,100
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Euryarchaeota,0.109,0.0897306262348908,0.019269373765109205,0.019269373765109205,17.67832455514606
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Evosea,0.001,9.431146901565098e-4,5.6885309843490175e-5,5.6885309843490175e-5,5.6885309843490175
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Fibrobacterota,0.076,0.0982186584462994,-0.022218658446299402,0.022218658446299402,22.621626886145418
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Fusobacteriota,0.01,0.0074775521862409005,0.0025224478137590997,0.0025224478137590997,25.224478137590996
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Gemmatimonadota,0.69,0.7343495169568652,-0.04434951695686529,0.04434951695686529,6.039292725438031
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Ignavibacteriota,0.019,0,0.019,0.019,100
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Lentisphaerota,0.02,0.012732048317112884,0.007267951682887117,0.007267951682887117,36.33975841443558
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Microsporidia,0.005,0.0029640747404918884,0.0020359252595081117,0.0020359252595081117,40.71850519016223
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Mucoromycota,0.932,0.9476955329372702,-0.015695532937270107,0.015695532937270107,1.6561788456070548
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Mycoplasmatota,0.008,0.004378746775726653,0.003621253224273347,0.003621253224273347,45.26566530341684
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Myxococcota,1.2510000000000001,1.34070489739249,-0.08970489739248988,0.08970489739248988,6.690875640639124
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Nematoda,0.002,0.0016167680402683028,3.8323195973169726e-4,3.8323195973169726e-4,19.161597986584862
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Nitrososphaerota,1.559,1.488032885061939,0.07096711493806085,0.07096711493806085,4.552092042210446
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Nitrospinota,0.003,0.0012125760302012269,0.0017874239697987732,0.0017874239697987732,59.58079899329244
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Nitrospirota,0.11900000000000001,0.12705102183108413,-0.008051021831084124,0.008051021831084124,6.336841463414639
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Olpidiomycota,0.002,0.002223056055368916,-2.2305605536891617e-4,2.2305605536891617e-4,10.033757575757576
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Planctomycetota,1.521,1.4466032040300638,0.07439679596993609,0.07439679596993609,4.891308084808422
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Pseudomonadota,37.269000000000005,35.01104454667509,2.257955453324918,2.257955453324918,6.058535118529925
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Rhodothermota,0.036000000000000004,0.037859318276282757,-0.0018593182762827523,0.0018593182762827523,4.911124555160138
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Spirochaetota,0.031,0.019872773828297885,0.011127226171702115,0.011127226171702115,35.89427797323263
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Synergistota,0.015,0.009094320226509202,0.005905679773490798,0.005905679773490798,39.37119848993865
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Thermodesulfobacteriota,1.0370000000000001,0.8298061966677064,0.20719380333229376,0.20719380333229376,19.980116039758318
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Thermomicrobiota,0.054,0.02788924869462822,0.026110751305371778,0.026110751305371778,48.353243158095886
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Thermoproteota,0.002,0,0.002,0.002,100
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Thermotogota,0.003,0,0.003,0.003,100
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Verrucomicrobiota,1.396,1.2527257698678897,0.14327423013211016,0.14327423013211016,10.26319700086749
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Vulcanimicrobiota,0.013,0.003974554765659577,0.009025445234340422,0.009025445234340422,69.42650180261863
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,Zoopagomycota,0.027999999999999997,0.02317367524384567,0.0048263247561543265,0.0048263247561543265,17.236874129122594
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,candidate division NC10,0.006,0.011384741616889297,-0.005384741616889297,0.005384741616889297,47.297881656804734
WOOD_002-M-20140507-COMP_soil_microbe_db_phylum_filtered,candidate division Zixibacteria,0.004,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Abditibacteriota,0.004,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Acidobacteriota,2.257,2.1203922148111536,0.13660778518884653,0.13660778518884653,6.052626725247963
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Actinomycetota,44.568999999999996,47.467214938540216,-2.898214938540221,2.898214938540221,6.105719373451303
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Aquificota,0.003,0,0.003,0.003,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Armatimonadota,0.029,0.04925614725210146,-0.020256147252101456,0.020256147252101456,41.124100000000006
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Ascomycota,2.483,2.4984756071669394,-0.015475607166939298,0.015475607166939298,0.6194019714479955
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Bacillota,1.577,1.4787884346566254,0.09821156534337461,0.09821156534337461,6.227746692668016
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Bacteroidota,1.603,1.569912307073013,0.03308769292698699,0.03308769292698699,2.0641106005606353
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Balneolota,0.006999999999999999,0.0028025049298609447,0.004197495070139055,0.004197495070139055,59.964215287700796
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Basidiomycota,0.5559999999999999,0.5400342075450226,0.015965792454977312,0.015965792454977312,2.8715454055714593
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Bdellovibrionota,0.02,0.0209763247780501,-9.763247780501007e-4,9.763247780501007e-4,4.654412955465581
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Blastocladiomycota,0.01,0.010275851409490132,-2.758514094901316e-4,2.758514094901316e-4,2.6844628099173615
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Calditrichota,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Campylobacterota,0.026,0.022165266263445657,0.0038347337365543417,0.0038347337365543417,14.748975909824392
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Abyssubacteria,0.001,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Binatota,0.011000000000000001,0.01723965153823551,-0.006239651538235509,0.006239651538235509,36.193605911330046
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Cloacimonadota,0.003,0,0.003,0.003,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Coatesbacteria,0.002,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Dormibacteraeota,0.021,0.00900198553228061,0.01199801446771939,0.01199801446771939,57.13340222723519
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Edwardsbacteria,0.001,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Eisenbacteria,0.054,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Handelsmanbacteria,0.002,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Hydrogenedentes,0.015,0.011125095327629812,0.0038749046723701875,0.0038749046723701875,25.832697815801254
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Kapabacteria,0.003,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Krumholzibacteriota,0.002,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Latescibacteria,0.003,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Melainabacteria,0.006999999999999999,0.005180387900652049,0.00181961209934795,0.00181961209934795,25.994458562113575
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Omnitrophota,0.002,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Poribacteria,0.006,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Riflebacteria,0.005,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Sumerlaeota,0.005,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Tectomicrobia,0.002,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Candidatus Thermoplasmatota,0.009000000000000001,0.005435161076093953,0.003564838923906048,0.003564838923906048,39.60932137673386
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Chlamydiota,0.011000000000000001,0.003312051280744753,0.007687948719255248,0.007687948719255248,69.89044290232043
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Chlorobiota,0.013,0.010870322152187906,0.002129677847812093,0.002129677847812093,16.382137290862257
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Chloroflexota,0.44200000000000006,0.42411241271895633,0.017887587281043726,0.017887587281043726,4.046965448199938
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Chytridiomycota,0.609,0.6193535894992688,-0.01035358949926879,0.01035358949926879,1.6716766762649098
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Cryptomycota,0.001,0,0.001,0.001,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Cyanobacteriota,0.264,0.2201240235818051,0.043875976418194906,0.043875976418194906,16.61968803719504
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Deferribacterota,0.001,0,0.001,0.001,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Deinococcota,0.135,0.14326744899016405,-0.008267448990164045,0.008267448990164045,5.770640189685825
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Elusimicrobiota,0.011000000000000001,0,0.011000000000000001,0.011000000000000001,100
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Euryarchaeota,0.269,0.24984756071669392,0.019152439283306094,0.019152439283306094,7.119865904574755
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Evosea,0.001,0.29927355675242334,-0.29827355675242334,0.29827355675242334,99.66585754824064
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Fibrobacterota,0.04,0.04067878367889069,-6.78783678890689e-4,6.78783678890689e-4,1.6686430062630608
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Fusobacteriota,0.012,0.012144188029397427,-1.4418802939742716e-4,1.4418802939742716e-4,1.1873006993006967
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Gemmatimonadota,0.539,0.544535200311163,-0.005535200311162947,0.005535200311162947,1.0164999999999953
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Ignavibacteriota,0.013,0.0019532610117212646,0.011046738988278735,0.011046738988278735,84.97491529445182
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Kiritimatiellota,0.001,NA,NA,NA,NA
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Lentisphaerota,0.018000000000000002,0.014691919783816468,0.0033080802161835343,0.0033080802161835343,18.378223423241856
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Microsporidia,0.008,0.004755765941582209,0.003244234058417791,0.003244234058417791,40.552925730222384
WOOD_002-M-20180724-COMP_soil_microbe_db_phylum_filtered,Mucoromycota,0.624,0.6298842140842008,-0.005884214084200812,0.005884214084200812,0.9341739247674223
