samp_name,fungal_proportion,readdepth,db_name,n_reads,pass_filter,n_pass_filter,percent_classified_passing,metric,value,Database
fungprop_1_readdepth_.1M_gtdb_207,1,100000,gtdb_207,49504,1,48407,0.977840174531351,percent_passing,0.96814,gtdb_207
fungprop_1_readdepth_.1M_gtdb_207,1,100000,gtdb_207,49504,1,48407,0.977840174531351,percent_classified,0.99008,gtdb_207
fungprop_1_readdepth_.1M_gtdb_207_unfiltered,1,100000,gtdb_207_unfiltered,49512,1,46305,0.9352278235579253,percent_passing,0.9261,GTDB r207
fungprop_1_readdepth_.1M_gtdb_207_unfiltered,1,100000,gtdb_207_unfiltered,49512,1,46305,0.9352278235579253,percent_classified,0.99024,GTDB r207
fungprop_1_readdepth_.1M_pluspf,1,100000,pluspf,38652,1,29713,0.7687312428852323,percent_passing,0.59426,PlusPF
fungprop_1_readdepth_.1M_pluspf,1,100000,pluspf,38652,1,29713,0.7687312428852323,percent_classified,0.77304,PlusPF
fungprop_1_readdepth_.1M_soil_microbe_db,1,100000,soil_microbe_db,49902,1,48701,0.9759328283435533,percent_passing,0.97402,SoilMicrobeDB
fungprop_1_readdepth_.1M_soil_microbe_db,1,100000,soil_microbe_db,49902,1,48701,0.9759328283435533,percent_classified,0.99804,SoilMicrobeDB
fungprop_1_readdepth_1M_gtdb_207,1,1000000,gtdb_207,494950,1,483872,0.9776179412061824,percent_passing,0.967744,gtdb_207
fungprop_1_readdepth_1M_gtdb_207,1,1000000,gtdb_207,494950,1,483872,0.9776179412061824,percent_classified,0.9899,gtdb_207
fungprop_1_readdepth_1M_gtdb_207_unfiltered,1,1000000,gtdb_207_unfiltered,494971,1,462996,0.9354002557725604,percent_passing,0.925992,GTDB r207
fungprop_1_readdepth_1M_gtdb_207_unfiltered,1,1000000,gtdb_207_unfiltered,494971,1,462996,0.9354002557725604,percent_classified,0.989942,GTDB r207
fungprop_1_readdepth_1M_pluspf,1,1000000,pluspf,386832,1,297833,0.7699285477933573,percent_passing,0.595666,PlusPF
fungprop_1_readdepth_1M_pluspf,1,1000000,pluspf,386832,1,297833,0.7699285477933573,percent_classified,0.773664,PlusPF
fungprop_1_readdepth_1M_soil_microbe_db,1,1000000,soil_microbe_db,498864,1,487089,0.9763963725584528,percent_passing,0.974178,SoilMicrobeDB
fungprop_1_readdepth_1M_soil_microbe_db,1,1000000,soil_microbe_db,498864,1,487089,0.9763963725584528,percent_classified,0.997728,SoilMicrobeDB
fungprop_1_readdepth_5M_gtdb_207,1,5000000,gtdb_207,2474726,1,2419656,0.9777470313885255,percent_passing,0.9678624,gtdb_207
fungprop_1_readdepth_5M_gtdb_207,1,5000000,gtdb_207,2474726,1,2419656,0.9777470313885255,percent_classified,0.9898904,gtdb_207
fungprop_1_readdepth_5M_gtdb_207_unfiltered,1,5000000,gtdb_207_unfiltered,2474617,1,2315955,0.9358842196590422,percent_passing,0.926382,GTDB r207
fungprop_1_readdepth_5M_gtdb_207_unfiltered,1,5000000,gtdb_207_unfiltered,2474617,1,2315955,0.9358842196590422,percent_classified,0.9898468,GTDB r207
fungprop_1_readdepth_5M_pluspf,1,5000000,pluspf,1935575,1,1489874,0.7697319917853868,percent_passing,0.5959496,PlusPF
fungprop_1_readdepth_5M_pluspf,1,5000000,pluspf,1935575,1,1489874,0.7697319917853868,percent_classified,0.77423,PlusPF
fungprop_1_readdepth_5M_soil_microbe_db,1,5000000,soil_microbe_db,2494147,1,2435209,0.976369476217721,percent_passing,0.9740836,SoilMicrobeDB
fungprop_1_readdepth_5M_soil_microbe_db,1,5000000,soil_microbe_db,2494147,1,2435209,0.976369476217721,percent_classified,0.9976588,SoilMicrobeDB
fungprop_20_readdepth_.1M_gtdb_207,20,100000,gtdb_207,40401,1,39269,0.97198089156209,percent_passing,0.78538,gtdb_207
fungprop_20_readdepth_.1M_gtdb_207,20,100000,gtdb_207,40401,1,39269,0.97198089156209,percent_classified,0.80802,gtdb_207
fungprop_20_readdepth_.1M_gtdb_207_unfiltered,20,100000,gtdb_207_unfiltered,40444,1,37721,0.932672337058649,percent_passing,0.75442,GTDB r207
fungprop_20_readdepth_.1M_gtdb_207_unfiltered,20,100000,gtdb_207_unfiltered,40444,1,37721,0.932672337058649,percent_classified,0.80888,GTDB r207
fungprop_20_readdepth_.1M_pluspf,20,100000,pluspf,37322,1,29370,0.7869353196506083,percent_passing,0.5874,PlusPF
fungprop_20_readdepth_.1M_pluspf,20,100000,pluspf,37322,1,29370,0.7869353196506083,percent_classified,0.74644,PlusPF
fungprop_20_readdepth_.1M_soil_microbe_db,20,100000,soil_microbe_db,49283,1,48268,0.9794046628654911,percent_passing,0.96536,SoilMicrobeDB
fungprop_20_readdepth_.1M_soil_microbe_db,20,100000,soil_microbe_db,49283,1,48268,0.9794046628654911,percent_classified,0.98566,SoilMicrobeDB
fungprop_20_readdepth_1M_gtdb_207,20,1000000,gtdb_207,403759,1,392485,0.9720774026089821,percent_passing,0.78497,gtdb_207
fungprop_20_readdepth_1M_gtdb_207,20,1000000,gtdb_207,403759,1,392485,0.9720774026089821,percent_classified,0.807518,gtdb_207
fungprop_20_readdepth_1M_gtdb_207_unfiltered,20,1000000,gtdb_207_unfiltered,404205,1,376033,0.9303026929404634,percent_passing,0.752066,GTDB r207
fungprop_20_readdepth_1M_gtdb_207_unfiltered,20,1000000,gtdb_207_unfiltered,404205,1,376033,0.9303026929404634,percent_classified,0.80841,GTDB r207
fungprop_20_readdepth_1M_pluspf,20,1000000,pluspf,374280,1,293182,0.7833226461472694,percent_passing,0.586364,PlusPF
fungprop_20_readdepth_1M_pluspf,20,1000000,pluspf,374280,1,293182,0.7833226461472694,percent_classified,0.74856,PlusPF
fungprop_20_readdepth_1M_soil_microbe_db,20,1000000,soil_microbe_db,492747,1,481848,0.977881143873022,percent_passing,0.963696,SoilMicrobeDB
fungprop_20_readdepth_1M_soil_microbe_db,20,1000000,soil_microbe_db,492747,1,481848,0.977881143873022,percent_classified,0.985494,SoilMicrobeDB
fungprop_20_readdepth_5M_gtdb_207,20,5000000,gtdb_207,2019551,1,1963403,0.9721977805957859,percent_passing,0.7853612,gtdb_207
fungprop_20_readdepth_5M_gtdb_207,20,5000000,gtdb_207,2019551,1,1963403,0.9721977805957859,percent_classified,0.8078204,gtdb_207
fungprop_20_readdepth_5M_gtdb_207_unfiltered,20,5000000,gtdb_207_unfiltered,2021791,1,1880395,0.9300639878206995,percent_passing,0.752158,GTDB r207
fungprop_20_readdepth_5M_gtdb_207_unfiltered,20,5000000,gtdb_207_unfiltered,2021791,1,1880395,0.9300639878206995,percent_classified,0.8087164,GTDB r207
